Timestamp,Proximity Distance (cm),Intruder Detected,Force Detected,Soft Alarm Triggered,Hard Alarm Triggered,Notification Type,Notification Sent,Alarm Reset Time (s),Event Type,System Uptime (s)
2023-07-01 00:05:20,56,1,1,0,1,Force Alert,1,6,Force Detection,5
2023-07-01 00:44:29,56,1,1,0,1,Force Alert,1,7,Force Detection,11
2023-07-01 00:59:57,85,1,1,0,1,Force Alert,1,15,Force Detection,12
2023-07-01 01:05:33,45,1,1,1,1,Force Alert,1,18,Force Detection,14
2023-07-01 01:11:29,34,0,1,0,1,Force Alert,1,10,Force Detection,15
2023-07-01 01:12:10,46,0,1,0,1,Force Alert,1,9,Force Detection,24
2023-07-01 01:36:46,65,0,0,0,0,,0,0,No Event,29
2023-07-01 02:04:20,78,1,0,0,0,,0,0,No Event,37
2023-07-01 02:11:32,81,0,1,0,1,Force Alert,1,8,Force Detection,46
2023-07-01 02:14:03,22,0,0,0,0,,0,0,No Event,51
2023-07-01 02:22:42,12,1,1,1,1,Force Alert,1,10,Force Detection,53
2023-07-01 02:28:08,10,1,0,1,0,Proximity Warning,1,0,Proximity Detection,60
2023-07-01 02:39:45,67,0,0,0,0,,0,0,No Event,65
2023-07-01 02:51:22,78,0,1,0,1,Force Alert,1,14,Force Detection,70
2023-07-01 03:02:26,17,0,1,0,1,Force Alert,1,5,Force Detection,74
2023-07-01 03:57:25,46,1,0,1,0,Proximity Warning,1,0,Proximity Detection,76
2023-07-01 04:27:44,47,0,1,0,1,Force Alert,1,11,Force Detection,80
2023-07-01 04:41:26,20,0,0,0,0,,0,0,No Event,83
2023-07-01 04:55:01,98,1,0,0,0,,0,0,No Event,92
2023-07-01 04:55:05,59,1,1,0,1,Force Alert,1,5,Force Detection,101
2023-07-01 05:00:48,62,1,0,0,0,,0,0,No Event,110
2023-07-01 05:19:02,59,1,0,0,0,,0,0,No Event,115
2023-07-01 05:26:57,45,1,1,1,1,Force Alert,1,7,Force Detection,117
2023-07-01 05:28:15,88,0,1,0,1,Force Alert,1,6,Force Detection,119
2023-07-01 05:33:33,53,0,1,0,1,Force Alert,1,20,Force Detection,128
2023-07-01 05:59:02,31,1,0,1,0,Proximity Warning,1,0,Proximity Detection,130
2023-07-01 06:04:43,70,1,1,0,1,Force Alert,1,10,Force Detection,138
2023-07-01 06:21:14,91,1,0,0,0,,0,0,No Event,144
2023-07-01 06:27:27,21,0,1,0,1,Force Alert,1,19,Force Detection,150
2023-07-01 06:52:36,95,0,0,0,0,,0,0,No Event,155
2023-07-01 07:41:07,12,1,0,1,0,Proximity Warning,1,0,Proximity Detection,159
2023-07-01 08:17:55,87,0,1,0,1,Force Alert,1,8,Force Detection,161
2023-07-01 09:06:35,92,1,0,0,0,,0,0,No Event,169
2023-07-01 09:17:33,11,1,1,1,1,Force Alert,1,13,Force Detection,176
2023-07-01 09:28:13,65,0,0,0,0,,0,0,No Event,183
2023-07-01 10:25:12,35,0,1,0,1,Force Alert,1,5,Force Detection,186
2023-07-01 10:29:40,73,1,1,0,1,Force Alert,1,14,Force Detection,193
2023-07-01 10:41:15,35,1,1,1,1,Force Alert,1,15,Force Detection,200
2023-07-01 11:05:28,16,1,0,1,0,Proximity Warning,1,0,Proximity Detection,205
2023-07-01 11:25:59,83,1,0,0,0,,0,0,No Event,207
2023-07-01 11:28:45,90,1,0,0,0,,0,0,No Event,213
2023-07-01 11:39:40,23,0,1,0,1,Force Alert,1,7,Force Detection,218
2023-07-01 11:48:09,48,0,0,0,0,,0,0,No Event,219
2023-07-01 11:49:20,36,0,0,0,0,,0,0,No Event,221
2023-07-01 12:08:12,79,1,1,0,1,Force Alert,1,20,Force Detection,224
2023-07-01 12:13:22,93,0,0,0,0,,0,0,No Event,226
2023-07-01 12:50:25,16,1,1,1,1,Force Alert,1,5,Force Detection,235
2023-07-01 13:12:15,75,0,1,0,1,Force Alert,1,9,Force Detection,238
2023-07-01 13:46:18,81,1,0,0,0,,0,0,No Event,244
2023-07-01 13:59:15,95,0,0,0,0,,0,0,No Event,246
2023-07-01 14:25:23,98,1,0,0,0,,0,0,No Event,253
2023-07-01 14:33:26,35,1,0,1,0,Proximity Warning,1,0,Proximity Detection,261
2023-07-01 14:38:48,99,0,1,0,1,Force Alert,1,7,Force Detection,262
2023-07-01 15:07:52,14,0,0,0,0,,0,0,No Event,270
2023-07-01 15:09:57,46,1,1,1,1,Force Alert,1,13,Force Detection,277
2023-07-01 15:26:28,71,0,0,0,0,,0,0,No Event,282
2023-07-01 15:41:42,59,1,0,0,0,,0,0,No Event,288
2023-07-01 15:45:01,6,0,0,0,0,,0,0,No Event,295
2023-07-01 16:19:23,17,0,0,0,0,,0,0,No Event,302
2023-07-01 16:44:49,49,1,0,1,0,Proximity Warning,1,0,Proximity Detection,311
